,Device ID,Memory
968,10538,16GB
969,10540,16GB
970,10539,16GB
971,10470,32GB
972,10453,32GB
973,10403,128GB
974,10359,16GB
975,10313,64GB
976,10312,64GB
977,10160,8GB
978,10107,32GB
979,10106,32GB
980,10105,32GB
981,10047,32GB
982,10046,32GB
983,10045,64GB
984,9994,16GB
985,9968,16GB
986,9967,16GB
987,9930,16GB
988,9929,16GB
989,9855,128GB
990,9877,32GB
991,9854,64GB
992,9853,64GB
993,9811,128GB
994,9876,32GB
995,9778,64GB
996,9777,64GB
997,9776,32GB
998,9775,32GB
999,9718,64GB
1000,9597,8GB
1001,9565,8GB
1002,9542,16GB
1003,9518,16GB
1004,9482,16GB
1005,9470,32GB
1006,9360,16GB
1007,9359,16GB
1008,9359,8GB
1009,9325,8GB
1010,9314,32GB
1011,9307,128GB
1012,9307,64GB
1013,9302,8GB
1014,9301,8GB
1015,9277,16GB
1016,9254,16GB
1017,9253,16GB
1018,9223,32GB
1019,9184,8GB
1020,9165,32GB
1021,9154,16GB
1022,9146,8GB
1023,9132,4MB
1024,9131,32GB
1025,9072,64GB
1026,9064,16GB
1027,9063,16GB
1028,9007,16GB
1029,8965,8GB
1030,8964,8GB
1031,8952,16GB
1032,8946,32GB
1033,8945,32GB
1034,8924,8GB
1035,8925,8GB
1036,8926,8GB
1037,8906,8GB
1038,8905,8GB
1039,8865,16GB
1040,8846,16GB
1041,8846,8GB
1042,8845,8GB
1043,8842,8GB
1044,8841,8GB
1045,8835,64GB
1046,8824,8GB
1047,8825,16GB
1048,8825,8GB
1049,8826,8GB
1050,8796,8GB
1051,8773,16GB
1052,8773,32GB
1053,8774,8GB
1054,8736,16GB
1055,8735,8GB
1056,8732,8GB
1057,8731,8GB
1058,8713,8GB
1059,8709,8GB
1060,8670,16GB
1061,8670,32GB
1062,8653,8GB
1063,8621,64GB
1064,8555,4GB
1065,8553,4GB
1066,8544,32GB
1067,8541,8GB
1068,8557,8GB
1069,8556,8GB
1070,8534,8GB
1071,8533,8GB
1072,8527,8GB
1073,8524,8GB
1074,8525,4GB
1075,8526,32MB
1076,8496,8GB
1077,8462,16GB
1078,8461,8GB
1079,8460,16GB
1080,8459,4GB
1081,8457,8GB
1082,8456,4GB
1083,8426,64GB
1084,8427,16GB
1085,8428,8GB
1086,8429,8GB
1087,8349,16GB
