,Device ID,RAM
1108,7941,2GB
1109,7940,1.5GB
1110,8348,1.5GB
1111,7836,3GB
1112,7758,2GB
1113,7731,2GB
1114,7731,3GB
1115,7753,1.5GB
1116,7753,2GB
1117,7627,2GB
1118,7592,3GB
1119,7591,3GB
1120,7576,2GB
1121,7576,3GB
1122,7421,1.5GB
1123,7418,1.5GB
1124,7418,1GB
1125,7419,1.5GB
1126,7420,1GB
1127,7275,3GB
1128,7267,1GB
1129,7194,1GB
1130,6977,3GB
1131,7165,2GB
1132,7111,3GB
1133,7310,2GB
1134,6891,3GB
1135,7115,2GB
1136,7183,1GB
1137,6968,1GB
1138,6968,2GB
1139,6947,1GB
1140,6921,2GB
1141,6913,1GB
1142,6841,1GB
1143,6830,1GB
1144,5823,2GB
1145,6736,1GB
1146,6713,2GB
1147,6715,2GB
1148,6719,1GB
1149,6854,1GB
1150,6637,2GB
1151,6636,2GB
1152,6621,2GB
1153,6608,1GB
1154,6589,2GB
1155,6588,2GB
1156,6581,2GB
1157,6528,1.5GB
1158,6483,2GB
1159,6463,1GB
1160,6397,2GB
1161,6345,1GB
1162,6234,1GB
1163,6316,512MB
1164,6233,2GB
1165,6074,2GB
1166,6348,
1167,6009,1GB
1168,6487,1.5GB
1169,6073,1.5GB
1170,6160,1GB
1171,5907,1GB
1172,6552,1GB
1173,5870,1GB
1174,5871,1GB
1175,5872,1GB
1176,5704,2GB
1177,5666,512MB
1178,5667,1GB
1179,5623,1GB
1180,5505,1GB
1181,6121,1GB
1182,6123,768MB
1183,6122,512MB
1184,5547,1GB
1185,5537,2GB
1186,5536,512MB
1187,5465,1GB
1188,5395,1GB
1189,5498,2GB
1190,5313,2GB
1191,5261,512MB
1192,4978,1GB
1193,5118,2GB
1194,5113,2GB
1195,5106,1GB
1196,5105,1GB
1197,5100,768MB
1198,5016,1GB
1199,4976,1GB
1200,5104,1GB
1201,4975,1GB
1202,5000,512MB
1203,4980,1GB
1204,4979,1GB
1205,4951,768MB
1206,4830,512MB
1207,5861,768MB
1208,4829,512MB
1209,4805,512MB
1210,4759,512MB
1211,4997,1GB
1212,4744,1GB
1213,4665,1GB
1214,4977,1GB
1215,4320,1GB
1216,4614,1GB
1217,4572,1GB
1218,4836,1GB
1219,4574,1GB
1220,4575,512MB
1221,4525,1GB
1222,4435,1GB
1223,4411,
1224,4099,1GB
1225,4302,1GB
1226,4202,768MB
1227,4161,768MB
1228,4102,512MB
1229,4097,1GB
1230,3958,1GB
1231,4132,768MB
1232,4285,768MB
1233,4196,768MB
1234,4164,768MB
1235,4141,1GB
1236,4027,512MB
1237,4131,512MB
1238,4070,768MB
1239,4022,512MB
1240,3964,576MB
1241,3938,768MB
1242,3922,768MB
1243,3901,1GB
1244,3875,768MB
1245,3895,1GB
1246,3887,576MB
1247,3739,512MB
1248,3788,768MB
1249,3776,768MB
1250,3777,512MB
1251,3786,512MB
1252,3787,512MB
1253,3829,1GB
1254,3953,1GB
1255,3896,1GB
1256,3706,768MB
1257,3707,256MB
1258,3703,768MB
1259,3702,512MB
1260,3585,384MB
1261,3338,576MB
1262,3576,576MB
1263,3557,448MB
1264,3530,576MB
1265,3118,576MB
1266,3556,576MB
1267,3468,768MB
1268,3421,512MB
1269,5058,1GB
1270,3392,384MB
1271,3577,384MB
1272,3337,384MB
1273,3163,384MB
1274,3077,576MB
